epoch,train_accuracy,accuracy,train_loss,val_loss,lr
0,0.9042333333333333,0.9552,0.31638415938816145,0.15126338634762393,0.001
1,0.9393,0.9592,0.2054233201171666,0.13712407165886992,0.0009698764640825614
2,0.9427333333333333,0.9623,0.1934922999448989,0.1280266858218749,0.0008831391993379295
3,0.9464333333333333,0.9656,0.1803957796840224,0.11608415300334539,0.0007502500000000002
4,0.9498333333333333,0.9663,0.16951035186951433,0.11471470386657327,0.0005872372647446319
5,0.9542166666666667,0.973,0.15557985950533032,0.0988376669807241,0.0004137627352553684
6,0.9592166666666667,0.9731,0.14024285026861483,0.09235714598755268,0.00025075000000000016
7,0.9651666666666666,0.9767,0.12438382097018659,0.0852277400885009,0.00011786080066207055
8,0.9695666666666667,0.9769,0.10962866675655308,0.07868595607921937,3.11235359174388e-05
9,0.9727166666666667,0.9793,0.10004718983115904,0.07548910462958591,1e-06
epoch,train_accuracy,accuracy,train_loss,val_loss,lr
0,0.9050833333333334,0.9561,0.3139124014240641,0.1485940598477685,0.001
epoch,train_accuracy,accuracy,train_loss,val_loss,lr
0,0.9098,0.9575,0.30688736069815703,0.14745118167966825,0.001
epoch,train_accuracy,accuracy,train_loss,val_loss,lr
0,0.9056833333333333,0.957,0.3105622202963018,0.14929246866175175,0.001
1,0.9383666666666667,0.9633,0.20435586647828613,0.12926079365437015,0.0009698764640825614
2,0.9438333333333333,0.9628,0.18942092137548425,0.1230291182723196,0.0008831391993379295
3,0.9458,0.9609,0.18209768765194626,0.12916779970103112,0.0007502500000000002
4,0.9498666666666666,0.9684,0.16947441078062755,0.1107119873450504,0.0005872372647446319
5,0.9543,0.9694,0.1576535480057663,0.10184047623809928,0.0004137627352553684
6,0.9597666666666667,0.9725,0.14225527708018879,0.09496198216239539,0.00025075000000000016
epoch,train_accuracy,accuracy,train_loss,val_loss,lr
0,0.9062333333333333,0.9571,0.31188112394645545,0.14283316743834867,0.001
1,0.9388166666666666,0.9555,0.20707695770504106,0.14483164277569113,0.0009698764640825614
2,0.9423166666666667,0.9634,0.1915229580310716,0.12501068502780174,0.0008831391993379295
3,0.9470833333333334,0.9681,0.1791084095860489,0.11097525443278894,0.0007502500000000002
4,0.95095,0.9686,0.16827424904357413,0.10531624596608351,0.0005872372647446319
5,0.9554166666666667,0.9687,0.15400360335599886,0.10713357333433371,0.0004137627352553684
